Name,Party,Ethnicity,Gender,Parliament_1,Parliament_2,Parliament_3,Parliament_4,Parliament_5,Parliament_6,Parliament_7,Parliament_8,Parliament_9,Parliament_10,Parliament_11,Parliament_12,Parliament_13,Parliament_14
Lee Yock Suan,People's Action Party,Chinese,Male,,,,,MP,MP,MP,MP,MP,MP,,,,
Liew Kok Pun,People's Action Party,Chinese,Male,,,,,MP,,,,,,,,,
Lim Boon Heng,People's Action Party,Chinese,Male,,,,,MP,MP,MP,MP,MP,MP,MP,,,
M K A Jabbar,People's Action Party,Indian,Male,,,,,MP,,,,,,,,,
Othman Bin Haron Eusofe,People's Action Party,Malay,Male,,,,,MP,MP,MP,MP,MP,MP,,,,
Saidi Shariff,People's Action Party,Malay,Male,,,,,MP,,,,,,,,,
Tan Cheng Bock,People's Action Party,Chinese,Male,,,,,MP,MP,MP,MP,MP,MP,,,,
Tay Eng Soon,People's Action Party,Chinese,Male,,,,,MP,MP,MP,MP,,,,,,
Wan Hussin Zoohri,People's Action Party,Malay,Male,,,,,MP,MP,MP,,,,,,,
Wan Soon Bee,People's Action Party,Chinese,Male,,,,,MP,MP,MP,MP,MP,,,,,
Wong Kwei Cheong,People's Action Party,Chinese,Male,,,,,MP,MP,MP,MP,,,,,,
Yeo Ning Hong,People's Action Party,Chinese,Male,,,,,MP,MP,MP,MP,,,,,,
Abdullah Bin Tarmugi,People's Action Party,Malay,Male,,,,,,MP,MP,MP,MP,MP,MP,,,
"Beng Kian Lam, Arthur",People's Action Party,Chinese,Male,,,,,,MP,MP,MP,,,,,,
Chew Heng Ching,People's Action Party,Chinese,Male,,,,,,MP,MP,MP,MP,MP,,,,
Chiam See Tong,Singapore Democratic Alliance,Chinese,Male,,,,,,MP,MP,MP,MP,MP,MP,,,
Chng Hee Kok,People's Action Party,Chinese,Male,,,,,,MP,MP,MP,MP,,,,,
Goh Choon Kang,People's Action Party,Chinese,Male,,,,,,MP,MP,MP,MP,,,,,
Heng Chiang Meng,People's Action Party,Chinese,Male,,,,,,MP,MP,MP,MP,,,,,
Ho Tat Kin,People's Action Party,Chinese,Male,,,,,,MP,MP,MP,MP,,,,,
"Hu Tsu Tau, Richard",People's Action Party,Chinese,Male,,,,,,MP,MP,MP,MP,,,,,
Ibrahim Othman,People's Action Party,Chinese,Male,,,,,,MP,MP,MP,MP,,,,,
Koh Lam Son,People's Action Party,Chinese,Male,,,,,,MP,MP,,,,,,,
Lee Boon Yang,People's Action Party,Chinese,Male,,,,,,MP,MP,MP,MP,MP,MP,,,
Lee Hsien Loong,People's Action Party,Chinese,Male,,,,,,MP,MP,MP,MP,MP,MP,MP,MP,MP
Leong Horn Kee,People's Action Party,Chinese,Male,,,,,,MP,MP,MP,MP,MP,,,,
Tan Dixie,People's Action Party,Chinese,Female,,,,,,MP,MP,,,,,,,
