,Division,Type,Name,lat,long,newName,Party,Ethnicity,Gender,Title,Parliament,Type.1,Ministry_1,Ministry_2,Ministry_3,Title_1,Title_2,Title_3
81,JURONG,GRC,Tan Wu Meng,103.74531091402933,1.3351045698818773,Tan_Wu_Meng,People's Action Party,Chinese,Male,MP,14.0,Backbencher,,,,,,
82,PASIR RIS-PUNGGOL,GRC,Teo Chee Hean,103.93133564966094,1.3897010798327318,Teo_Chee_Hean,People's Action Party,Chinese,Male,MP,14.0,Cabinet,PMO,,,Coordinating Minister for National Security,Senior Minister,
83,JURONG,GRC,Tharman Shanmugaratnam,103.74531091402933,1.3351045698818773,Tharman_Shanmugaratnam,People's Action Party,Indian,Male,MP,14.0,Cabinet,PMO,,,Coordinating Minister for Social Policies,Senior Minister,
84,MACPHERSON,SMC,Tin Pei Ling,103.88606828160141,1.3240201744693818,Tin_Pei_Ling,People's Action Party,Chinese,Female,MP,14.0,Backbencher,Communications & Information,"Culture, Community and Youth",,GPC Chairperson,GPC Member,
85,SEMBAWANG,GRC,Vikram Nair,103.80908110818795,1.4513477546371436,Vikram_Nair,People's Action Party,Indian,Male,MP,14.0,Backbencher,,,,,,
86,HOLLAND-BUKIT TIMAH,GRC,Vivian Balakrishnan,103.78784256612474,1.3658475267644983,Vivian_Balakrishnan,People's Action Party,Indian,Male,MP,14.0,Cabinet,Foreign Affairs,,,Minister,,
87,JALAN BESAR,GRC,Wan Rizal,103.85724253059061,1.3002027735192085,Wan_Rizal,People's Action Party,Malay,Male,MP,14.0,Backbencher,,,,,,
88,JURONG,GRC,Xie Yao Quan,103.74531091402933,1.3351045698818773,Xie_Yao_Quan,People's Action Party,Chinese,Male,MP,14.0,Backbencher,,,,,,
89,PASIR RIS-PUNGGOL,GRC,Yeo Wan Ling,103.93133564966094,1.3897010798327318,Yeo_Wan_Ling,People's Action Party,Chinese,Female,MP,14.0,Backbencher,,,,,,
90,YIO CHU KANG,SMC,Yip Hon Weng,103.83875944301174,1.3839808437604324,Yip_Hon_Weng,People's Action Party,Chinese,Male,MP,14.0,Backbencher,,,,,,
91,MARSILING-YEW TEE,GRC,Zaqy Mohamad,103.76572659755615,1.4232251406725156,Zaqy_Mohamad,People's Action Party,Malay,Male,MP,14.0,Cabinet,Manpower,Defence,,Senior Minister of State,Senior Minister of State,
92,CHUA CHU KANG,GRC,Zhulkarnain Abdul Rahim,103.70446433188238,1.394100444743377,Zhulkarnain_Abdul_Rahim,People's Action Party,Malay,Male,MP,14.0,Backbencher,Defence,Foreign Affairs,Law,GPC Member,GPC Member,GPC Deputy Chairperson
