level_4,level_1,perc,value,diff
Midview,Chinese,59.487612612612615,74.30281284039214,-14.81520022777952
Midview,Malays,27.25225225225225,13.351957454988147,13.900294797264104
Midview,Indians,11.036036036036036,9.0948933171013,1.941142718934735
Midview,Others,2.224099099099099,3.250336387518421,-1.0262372884193218
Mei Chin,Chinese,77.86396181384248,74.30281284039214,3.5611489734503436
Mei Chin,Indians,10.381861575178998,9.0948933171013,1.2869682580776978
Mei Chin,Malays,9.069212410501192,13.351957454988147,-4.282745044486955
Mei Chin,Others,2.6849642004773266,3.250336387518421,-0.5653721870410942
Matilda,Chinese,76.53631284916202,74.30281284039214,2.23350000876988
Matilda,Malays,14.623726585606308,13.351957454988147,1.2717691306181607
Matilda,Indians,6.539599079855406,9.0948933171013,-2.555294237245895
Matilda,Others,2.300361485376273,3.250336387518421,-0.9499749021421477
Marymount,Chinese,85.89093214965123,74.30281284039214,11.588119309259099
Marymount,Indians,7.2923272035510465,9.0948933171013,-1.8025661135502542
Marymount,Malays,4.0266328471781865,13.351957454988147,-9.32532460780996
Marymount,Others,2.7901077996195305,3.250336387518421,-0.4602285878988903
Maritime Square,Chinese,70.3125,74.30281284039214,-3.9903128403921357
Maritime Square,Others,17.96875,3.250336387518421,14.71841361248158
Maritime Square,Indians,10.15625,9.0948933171013,1.0613566828986993
Maritime Square,Malays,1.5625,13.351957454988147,-11.789457454988147
Marine Parade,Chinese,73.54771784232366,74.30281284039214,-0.755094998068472
Marine Parade,Malays,11.479944674965422,13.351957454988147,-1.8720127800227253
Marine Parade,Indians,9.95850622406639,9.0948933171013,0.8636129069650895
Marine Parade,Others,5.013831258644537,3.250336387518421,1.7634948711261158
Margaret Drive,Chinese,85.64638783269962,74.30281284039214,11.343574992307481
Margaret Drive,Indians,8.079847908745247,9.0948933171013,-1.0150454083560536
Margaret Drive,Malays,3.1368821292775664,13.351957454988147,-10.21507532571058
Margaret Drive,Others,3.1368821292775664,3.250336387518421,-0.11345425824085442
Mandai Estate,Chinese,80.28169014084507,74.30281284039214,5.978877300452936
Mandai Estate,Indians,11.267605633802818,9.0948933171013,2.172712316701517
Mandai Estate,Malays,5.164319248826291,13.351957454988147,-8.187638206161857
Mandai Estate,Others,3.286384976525822,3.250336387518421,0.036048589007401155
Malcolm,Chinese,80.98859315589354,74.30281284039214,6.685780315501404
Malcolm,Others,12.927756653992395,3.250336387518421,9.677420266473973
