,Division,Type,Name,lat,long,Ward,lat_ward,lon_ward,newName,Party,Age,Years_In_Politics,Ethnicity,Gender,Grassroots_Experience,First_Occupation,Previous_Occupation,Previous/Current_Role,Previous_Employer,Title,Parliament,Type.1,Ministry_1,Ministry_2,Ministry_3,Title_1,Title_2,Title_3,Defence,Foreign Affairs,Health,Transport,Sustainability and the Environment,Social & Family Development,Communications & Information,"Culture, Community and Youth",Education,Trade and Industry,Manpower,Finance,PMO,Law,National Development,Home Affairs,Age_group,X,Y,color,color1,color2,color4,color3,X1,Y1,code
30,SENGKANG,GRC,He Ting Ru,103.89704746574907,1.3901613973187283,Buangkok,103.89610074871761,1.383666066542997,He_Ting_Ru,Workers' Party,37,0,Chinese,Female,Yes,Law,Law,Senior Management,-,MP,14,Opposition,,,,Member of Parliament,Member of Parliament,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35 - 40,1.1757952,-1.949011,"rgb(0,128,128)","rgb(199,21,133)","rgb(139,0,0)","rgb(139,0,0)","rgb(0,0,255)",1.4924793,-1.3058494,0000000000000000
31,JALAN BESAR,GRC,Heng Chee How,103.85724253059061,1.3002027735192085,Whampoa,103.86024704075535,1.3198981946578368,Heng_Chee_How,People's Action Party,59,19,Chinese,Male,No,Military or Police Force,Public Service (Labour),Senior Management,NTUC,MP,14,Cabinet,Defence,,,Senior Minister of State,Senior Minister of State,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55 - 60,-0.10294737,1.3063661,"rgb(199,21,133)","rgb(139,0,0)","rgb(199,21,133)","rgb(199,21,133)","rgb(0,0,255)",-0.40732262,1.1602358,1000000000000000
32,EAST COAST,GRC,Heng Swee Keat,104.0039261184903,1.3696034901246614,Bedok,103.93914104004722,1.316400421486135,Heng_Swee_Keat,People's Action Party,59,9,Chinese,Male,No,Military or Police Force,Public Service (Finance),Director,Monetary Authority of Singapore,MP,14,Cabinet,PMO,Finance,,Senior Minister,Senior Minister,,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,55 - 60,-0.25902152,1.0876832,"rgb(255, 105, 180)","rgb(139,0,0)","rgb(199,21,133)","rgb(199,21,133)","rgb(0,0,255)",-0.24911682,1.3381784,0000000000011000
33,KEBUN BARU,SMC,Henry Kwek,103.82578398809954,1.3815915079988257,KEBUN BARU SMC,103.82572409205824,1.381669555209829,Henry_Kwek,People's Action Party,44,5,Chinese,Male,Yes,Biz Dev,Biz Dev,Director,Foodtraco Supplies,MP,14,Backbencher,,,,Member of Parliament,Member of Parliament,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40 - 45,-0.4401783,-0.28255156,"rgb(255,0,0)","rgb(199,21,133)","rgb(199,21,133)","rgb(199,21,133)","rgb(0,0,255)",-1.0712222,0.574642,0000000000000000
34,TANJONG PAGAR,GRC,Indranee Rajah,103.82305861072145,1.3016850069672519,Tanjong Pagar-Tiong Bahru,103.83419373794082,1.2755411784307435,Indranee_Rajah,People's Action Party,57,19,Indian,Female,No,Law,Law,Director,Drew & Napier,MP,14,Cabinet,PMO,National Development,Finance,Minister,Minister,Second Minister,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,55 - 60,2.0455282,1.7054504,"rgb(0,128,128)","rgb(139,0,0)","rgb(139,0,0)","rgb(199,21,133)","rgb(255,0,0)",0.3981777,-1.9865597,0000000000011010
35,SENGKANG,GRC,Jamus Lim,103.89704746574907,1.3901613973187283,Anchorvale,103.88915763867985,1.394403748984329,Jamus_Lim,Workers' Party,44,0,Chinese,Male,No,Finance,Education,Economist,Thirdrock,MP,14,Opposition,,,,Member of Parliament,Member of Parliament,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40 - 45,-0.3742508,-1.0855217,"rgb(255,228,225)","rgb(139,0,0)","rgb(199,21,133)","rgb(139,0,0)","rgb(0,0,255)",0.98441046,1.6228794,0000000000000000
36,PASIR RIS-PUNGGOL,GRC,Janil Puthucheary,103.93133564966094,1.3897010798327318,Punggol Coast,103.91223347240039,1.4091641478058965,Janil_Puthucheary,People's Action Party,47,9,Indian,Male,No,Specialist - Healthcare,Education,Paediatrician,KK Women's and Children's Hospital,MP,14,Cabinet,Communications & Information,Health,,Senior Minister of State,Senior Minister of State,,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,45 - 50,-0.901266,1.959676,"rgb(255,228,225)","rgb(139,0,0)","rgb(199,21,133)","rgb(199,21,133)","rgb(255,0,0)",-2.4701204,1.2519436,0010001000000000
37,EAST COAST,GRC,Jessica Tan,104.0039261184903,1.3696034901246614,Changi Simei,103.95259179375573,1.3407776913462275,Jessica_Tan,People's Action Party,54,14,Chinese,Female,No,Other(HR/Management),Other(HR/Management),Senior Management,Microsoft,MP,14,Backbencher,,,,Member of Parliament,Member of Parliament,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50 - 55,1.8710626,-1.2873011,"rgb(128,0,128)","rgb(139,0,0)","rgb(139,0,0)","rgb(199,21,133)","rgb(0,0,255)",2.160998,-0.4660118,0000000000000000
38,TANJONG PAGAR,GRC,Joan Pereira,103.82305861072145,1.3016850069672519,Henderson Dawson,103.82400667689653,1.297832900394563,Joan_Pereira,People's Action Party,53,5,Eurasian,Female,Yes,Public Service (Social/Healthcare),Public Service (Social/Healthcare),Senior Management,Temasek Cares,MP,14,Backbencher,,,,Member of Parliament,Member of Parliament,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50 - 55,2.1649554,-1.9915142,"rgb(0,0,255)","rgb(199,21,133)","rgb(139,0,0)","rgb(199,21,133)","rgb(0,255,255)",2.973487,-0.9564624,0000000000000000
39,JALAN BESAR,GRC,Josephine Teo,103.85724253059061,1.3002027735192085,Kreta Ayer-Kim Seng,103.85096279833536,1.2798233612623109,Josephine_Teo,People's Action Party,52,14,Chinese,Female,No,Public Service / Govt-linked (Biz Dev),Public Service (Labour),Senior Management,NTUC,MP,14,Cabinet,Manpower,Home Affairs,,Minister,Minister,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,50 - 55,2.2439172,-1.0594944,"rgb(199,21,133)","rgb(139,0,0)","rgb(139,0,0)","rgb(199,21,133)","rgb(0,0,255)",2.1001146,-0.48541462,0000000000100001
40,NEE SOON,GRC,K. Shanmugam,103.83152640469943,1.4237399423174648,Chong Pang,103.81652877011248,1.4284230544737164,K_Shanmugam,People's Action Party,61,32,Indian,Male,No,Law,Law,"Partner, Senior Counsel","Allen & Gledhill LLP,  Supreme Court",MP,14,Cabinet,Law,Home Affairs,,Minister,Minister,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,60 - 65,1.7706594,1.640079,"rgb(0,128,128)","rgb(139,0,0)","rgb(199,21,133)","rgb(199,21,133)","rgb(255,0,0)",-0.5994549,-1.6284066,0000000000000101
41,TAMPINES,GRC,Koh Poh Koon,103.94152145341093,1.3594384514422568,Tampines Central,103.9349656902133,1.3592922242792664,Koh_Poh_Koon,People's Action Party,48,5,Chinese,Male,No,Specialist - Healthcare,Education,Colorectal Surgeon,"Mount Elizabeth Medical Centre, Singapore General Hospital",MP,14,Cabinet,Health,,,Senior Minister of State,Senior Minister of State,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,45 - 50,-1.0729896,1.7107143,"rgb(255,228,225)","rgb(139,0,0)","rgb(199,21,133)","rgb(199,21,133)","rgb(0,0,255)",-1.926531,1.4479975,0010000000000000
42,MARSILING-YEW TEE,GRC,Lawrence Wong,103.76572659755615,1.4232251406725156,Limbang,103.75938061692632,1.4115418096097554,Lawrence_Wong,People's Action Party,47,9,Chinese,Male,No,Public Service (Multiple Statutory Boards),Public Service (Multiple Statutory Boards),Senior Management,,MP,14,Cabinet,Education,Finance,,Minister,Minister,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,45 - 50,-1.5916728,1.4092561,"rgb(255,215,0)","rgb(139,0,0)","rgb(199,21,133)","rgb(199,21,133)","rgb(0,0,255)",-1.2974548,2.347281,0000000010010000
43,ANG MO KIO,GRC,Lee Hsien Loong,103.86714718048466,1.3952294508760836,Teck Ghee,103.84994570883727,1.3659114766726603,Lee_Hsien_Loong,People's Action Party,68,36,Chinese,Male,No,Public Service (Multiple Statutory Boards),Public Service (Multiple Statutory Boards),Senior Management,,MP,14,Cabinet,PMO,,,Prime Minister,Prime Minister,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,More than 65,-2.0101671,1.4321191,"rgb(255,215,0)","rgb(139,0,0)","rgb(199,21,133)","rgb(199,21,133)","rgb(0,0,255)",-1.4795588,2.7050812,0000000000001000
44,ALJUNIED,GRC,Leon Perera,103.90292967503645,1.355507088429944,Serangoon,103.8707286070781,1.3616619446536504,Leon_Perera,Workers' Party,49,0,Eurasian,Male,Yes,Biz Dev,Biz Dev,CEO,Spire Research and Consulting Group,MP,14,Opposition,,,,Member of Parliament,Member of Parliament,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45 - 50,-1.6622369,-0.44413713,"rgb(255,0,0)","rgb(199,21,133)","rgb(199,21,133)","rgb(139,0,0)","rgb(0,255,255)",0.23406851,3.4326499,0000000000000000
