Name,Party,Ethnicity,Gender,Type,Parliament
Yeo Choo Kok,People's Action Party,Chinese,Male,MP,4
Yeo Toon Chia,People's Action Party,Chinese,Male,MP,4
Ahmad Mattar,People's Action Party,Malay,Male,MP,4
Ang Kok Peng,People's Action Party,Chinese,Male,MP,4
Ivan Baptist,People's Action Party,Eurasian,Male,MP,4
Chai Chong Yii,People's Action Party,Chinese,Male,MP,4
Chin Harn Tong,People's Action Party,Chinese,Male,MP,4
Lai Tai Chai,People's Action Party,Chinese,Male,MP,4
Lee Yiok Seng,People's Action Party,Chinese,Male,MP,4
Ong Leong Boon,People's Action Party,Chinese,Male,MP,4
Ong Teng Cheong,People's Action Party,Chinese,Male,MP,4
Phey Yew Kok,People's Action Party,Chinese,Male,MP,4
Tan Eng Liang,People's Action Party,Chinese,Male,MP,4
Ahmad Haleem,People's Action Party,Malay,Male,MP,4
C.V. Devan Nair,People's Action Party,Indian,Male,MP,4
"Chen Tien Lap, Bernard",People's Action Party,Chinese,Male,MP,4
Goh Chok Tong,People's Action Party,Chinese,Male,MP,4
Howe Yoon Chong,People's Action Party,Chinese,Male,MP,4
Koh Lip Lin,People's Action Party,Chinese,Male,MP,4
Lau Teik Soon,People's Action Party,Chinese,Male,MP,4
Lim Chee Onn,People's Action Party,Chinese,Male,MP,4
Mansor Haji Sukaimi,People's Action Party,Malay,Male,MP,4
Ngeow Pack Hua,People's Action Party,Chinese,Male,MP,4
Ow Chin Hock,People's Action Party,Chinese,Male,MP,4
Rohan Bin Kamis,People's Action Party,Malay,Male,MP,4
S. Dhanabalan,People's Action Party,Indian,Male,MP,4
Sidek Bin Saniff,People's Action Party,Malay,Male,MP,4
Tan Cheng San,People's Action Party,Chinese,Male,MP,4
"Tan Keng Yam, Tony",People's Action Party,Chinese,Male,MP,4
Tan Soo Khoon,People's Action Party,Chinese,Male,MP,4
Teh Cheang Wan,People's Action Party,Chinese,Male,MP,4
Teo Chong Tee,People's Action Party,Chinese,Male,MP,4
"Yap Giau Cheng, Eugene",People's Action Party,Chinese,Male,MP,4
A. Rahim Ishak,People's Action Party,Malay,Male,MP,5
"Barker, E.W.",People's Action Party,Eurasian,Male,MP,5
Chan Chee Seng,People's Action Party,Chinese,Male,MP,5
Chor Yeok Eng,People's Action Party,Chinese,Male,MP,5
Fong Sip Chee,People's Action Party,Chinese,Male,MP,5
Goh Keng Swee,People's Action Party,Chinese,Male,MP,5
Ho Kah Leong,People's Action Party,Chinese,Male,MP,5
Ho See Beng,People's Action Party,Chinese,Male,MP,5
Jek Yeun Thong,People's Action Party,Chinese,Male,MP,5
Lee Khoon Choy,People's Action Party,Chinese,Male,MP,5
Lee Kuan Yew,People's Action Party,Chinese,Male,MP,5
Ng Kah Ting,People's Action Party,Chinese,Male,MP,5
Ong Pang Boon,People's Action Party,Chinese,Male,MP,5
"Rajaratnam, S",People's Action Party,Indian,Male,MP,5
"Selvadurai, P.",People's Action Party,Indian,Male,MP,5
Sia Kah Hui,People's Action Party,Chinese,Male,MP,5
Tang See Chim,People's Action Party,Chinese,Male,MP,5
Toh Chin Chye,People's Action Party,Chinese,Male,MP,5
Yeoh Ghim Seng,People's Action Party,Chinese,Male,MP,5
"Cheong Yuen Chee, Eric",People's Action Party,Chinese,Male,MP,5
Chiang Hai Ding,People's Action Party,Chinese,Male,MP,5
Ch'ng Jit Koon,People's Action Party,Chinese,Male,MP,5
Chua Sian Chin,People's Action Party,Chinese,Male,MP,5
"Conceicao, J.F.",People's Action Party,Eurasian,Male,MP,5
Hon Sui Sen,People's Action Party,Chinese,Male,MP,5
Hwang Soo Jin,People's Action Party,Chinese,Male,MP,5
Lee Chiaw Meng,People's Action Party,Chinese,Male,MP,5
Phua Bah Lee,People's Action Party,Chinese,Male,MP,5
Seah Mui Kok,People's Action Party,Chinese,Male,MP,5
Sia Khoon Seong,People's Action Party,Chinese,Male,MP,5
Tan H.H. Augustine,People's Action Party,Chinese,Male,MP,5
Yeo Choo Kok,People's Action Party,Chinese,Male,MP,5
Yeo Toon Chia,People's Action Party,Chinese,Male,MP,5
Ahmad Mattar,People's Action Party,Malay,Male,MP,5
Ang Kok Peng,People's Action Party,Chinese,Male,MP,5
Chai Chong Yii,People's Action Party,Chinese,Male,MP,5
Chin Harn Tong,People's Action Party,Chinese,Male,MP,5
Lai Tai Chai,People's Action Party,Chinese,Male,MP,5
Lee Yiok Seng,People's Action Party,Chinese,Male,MP,5
Ong Teng Cheong,People's Action Party,Chinese,Male,MP,5
C.V. Devan Nair,People's Action Party,Indian,Male,MP,5
"Chen Tien Lap, Bernard",People's Action Party,Chinese,Male,MP,5
Goh Chok Tong,People's Action Party,Chinese,Male,MP,5
Howe Yoon Chong,People's Action Party,Chinese,Male,MP,5
Koh Lip Lin,People's Action Party,Chinese,Male,MP,5
Lau Teik Soon,People's Action Party,Chinese,Male,MP,5
Lim Chee Onn,People's Action Party,Chinese,Male,MP,5
