year,constituency,constituency_type,candidates,party,vote_count,vote_percentage
1959,Moulmein,na,Lin You Eng,PAP,4324,0.4725
1959,Moulmein,na,Tan Peng Khoo,LSP,872,0.0953
1959,Moulmein,na,Yap Jin Yau,SPA,3955,0.4322
1959,Mountbatten,na,Chua Seng Kim,SPA,3031,0.3371
1959,Mountbatten,na,Leon Soh,KURA,1354,0.1506
1959,Mountbatten,na,Tay Kum Sun,PAP,2143,0.2384
1959,Mountbatten,na,Wee Soo Bee,LSP,559,0.0622
1959,Mountbatten,na,Wong Foo Nam,PKMS,1903,0.2117
1959,Nee Soon,na,Sheng Nam Chin,PAP,5622,0.733
1959,Nee Soon,na,Yap Chin Poh,SPA,1476,0.1924
1959,Nee Soon,na,Yong Nyuk Khoon,LSP,572,0.0746
1959,Pasir Panjang,na,H. J. C. Kulasingha,Independent,1884,0.3195
1959,Pasir Panjang,na,S. T. V. Lingam,Independent,186,0.0315
1959,Pasir Panjang,na,Sukaimi bin Ibrahim,PKMS,1704,0.289
1959,Pasir Panjang,na,Tee Kim Leng,PAP,2123,0.36
1959,Paya Lebar,na,Ong Chye Hock,Independent,4209,0.3919
1959,Paya Lebar,na,Tan Kia Gan,PAP,6531,0.6081
1959,Punggol,na,Ng Teng Kian,PAP,4072,0.4639
1959,Punggol,na,Quah Heck Peck,LSP,554,0.0631
1959,Punggol,na,Tan Jin Hong,SPA,3655,0.4164
1959,Punggol,na,Tay Keng Hock,Independent,497,0.0566
1959,Queenstown,na,Chee Phui Hung,SPA,3732,0.3788
1959,Queenstown,na,Lee Kim Chuan,Independent,818,0.0831
1959,Queenstown,na,Lee Siew Choh,PAP,5301,0.5381
1959,River Valley,na,Lim Cheng Lock,PAP,3430,0.3655
1959,River Valley,na,Soh Ghee Soon,SPA,3425,0.365
1959,River Valley,na,E. K. Tan,LSP,2529,0.2695
1959,Rochore,na,Tan Soo Wan,LSP,934,0.0839
1959,Rochore,na,K. C. Thomas,SPA,2212,0.1985
1959,Rochore,na,Toh Chin Chye,PAP,7995,0.7176
1959,Sembawang,na,Ahmad Bin Ibrahim,PAP,4316,0.5469
1959,Sembawang,na,Chew Seng,SPA,1084,0.1374
1959,Sembawang,na,V. Jayaram,Independent,1566,0.1984
1959,Sembawang,na,Lau Sai Seng,LSP,926,0.1173
1959,Sepoy Lines,na,Goh Su Chiang,SPA,3820,0.4165
1959,Sepoy Lines,na,Wee Toon Boon,PAP,5352,0.5835
1959,Serangoon Gardens,na,"Fernandez, Victor Louis",SLF,330,0.042
1959,Serangoon Gardens,na,Leong Keng Seng,PAP,3843,0.4893
1959,Serangoon Gardens,na,Lilian Tan,LSP,64,0.0082
